,Tweet Id,Followers,Friends,Favorites,Day,Month,Date,Time,Year,Pos,Neg,Mentions_count,Hashtags_count,bin,Mentions_score,Hashtags_score,Mentions_score_avg,Hashtags_score_avg
0,1216392803632197632,53076,799,61,7,1,12,16,2020,1,-1,0,1,0,0,2091,0.0,2091.0
1,1224190295513817088,3970,530,81,1,2,3,4,2020,1,-1,0,0,0,0,0,0.0,0.0
2,1233349182888517633,15767,13932,48,5,2,28,11,2020,1,-3,0,2,0,0,24655,0.0,12327.5
3,1247138584949374983,6838,5736,56,1,4,6,12,2020,2,-3,0,0,0,0,0,0.0,0.0
4,1241735776527884290,1319,290,41,7,3,22,14,2020,2,-1,0,1,0,0,22891,0.0,22891.0
5,1209925831700754433,18487,243,289,3,12,25,19,2019,1,-3,0,0,0,0,0,0.0,0.0
6,1237942817655263232,15484,275,52,4,3,12,3,2020,1,-1,0,6,0,0,30811,0.0,5135.166666666667
7,1242120499280273413,15623,306,268,1,3,23,16,2020,1,-1,0,0,0,0,0,0.0,0.0
8,1202307978717732864,232,978,68,3,12,4,19,2019,3,-2,0,0,0,0,0,0.0,0.0
9,1187452848281440256,4146,3025,24,4,10,24,19,2019,3,-3,1,2,0,1954,3756,1954.0,1878.0
10,1223520920305688576,12503407,3,83,6,2,1,8,2020,1,-1,0,1,0,0,15,0.0,15.0
11,1240032342422384641,17,144,176,2,3,17,21,2020,1,-1,2,0,0,53,0,26.5,0.0
12,1239535176830472192,219,345,19,1,3,16,12,2020,3,-1,0,1,0,0,5,0.0,5.0
13,1241000820033847298,12662,10732,14,5,3,20,13,2020,1,-2,0,0,0,0,0,0.0,0.0
14,1243516256499761153,444,275,38,5,3,27,12,2020,1,-1,2,4,0,123,211812,61.5,52953.0
15,1242594259208941568,5740,223,123,2,3,24,23,2020,2,-1,0,0,0,0,0,0.0,0.0
16,1239372303395323906,11827,12181,26,1,3,16,2,2020,3,-3,1,0,0,84,0,84.0,0.0
17,1239257492640669698,312501,474,48,7,3,15,18,2020,1,-1,0,2,0,0,7571,0.0,3785.5
18,1211942768576122881,12842,318,28,2,12,31,9,2019,2,-2,0,2,0,0,25,0.0,12.5
